ND,NS,height_km,inc_deg
10,117,1810.2465706331964,103.67866397981433
9,118,1212.1629975741225,100.44544344833375
8,119,600.1657159714475,97.7614004720416
9,119,1169.6205688011682,100.23955816475925
10,119,1718.3212361293258,103.13854404047406
8,121,523.1352753853528,97.46363504703406
9,121,1086.297728924254,99.84501807637703
10,121,1628.9353279111535,102.62894620508035
9,122,1045.4915945760188,99.65594214443668
8,123,448.1980950838132,97.18202028558291
10,123,1541.9784330836394,102.14760340119435
9,124,965.5284475289685,99.2931973408528
11,124,2015.6925619596466,104.94674916171499
8,125,375.2646214253977,96.91542549480364
9,125,926.3479385731379,99.11916245177707
11,125,1970.9036832162765,104.66294478663417
11,126,1926.708037448734,104.38696177216411
8,127,304.2504856257914,96.66281707176957
9,127,849.5328584410875,98.7849130690892
10,127,1374.942028912238,101.26164806696214
11,127,1883.093151873379,104.11851178800288
9,128,811.8767782931691,98.6243790837485
11,128,1840.0469114685627,103.85732014136352
10,129,1294.6722970116596,100.85346585384758
11,129,1797.5575460154685,103.60312497045163
9,130,738.0160451088072,98.31574502390791
11,130,1755.613617704561,103.35567649631724
9,131,701.7916613041302,98.16736495685808
10,131,1216.450298351505,100.46636043303295
11,131,1714.2040092788516,103.11473632802264
9,133,630.7075763173746,97.88182243425241
10,133,1140.1937100524865,100.0989116226254
11,133,1632.944818219226,102.65148045357428
9,134,595.8297396088363,97.7444136927003
11,134,1593.0745041063903,102.4287393107599
11,135,1553.697026551988,102.21165451733181
9,136,527.3589761326956,97.4797429360828
11,136,1514.8027101831399,102.00003577181991
9,137,493.7493484829897,97.3522635351002
10,137,993.2695821541548,99.41788636802536
11,137,1476.38213889578,101.79370088589225
12,137,1945.0516038396358,104.50102299472658
11,138,1438.42614707644,101.59247535757852
9,139,427.74150442216916,97.1065054020393
10,139,922.4586124414596,99.10201808307164
11,139,1400.92581118232,101.39619197165756
12,139,1865.0887953520566,104.00881515635497
9,140,395.3278803922022,96.98803417210809
11,140,1363.8724416625919,101.20469042515428
10,141,853.3256532229213,98.80120274063331
11,141,1327.2575752047505,101.01781697607247
9,142,331.64420405038635,96.75945394140227
11,142,1291.0729672907553,100.83542411365319
9,143,300.35991256916896,96.64917396354645
10,143,785.8079738545279,98.51450835121241
12,143,1710.7769862161736,103.09494454792984
11,144,1219.9626003849144,100.48351942180544
11,145,1185.0213833877408,100.31374103036939
12,145,1636.289900222701,102.6703037070226
11,146,1150.4794959836975,100.14790956953516
10,147,655.3832296002228,97.98010470309158
11,147,1116.3296858413992,99.98590438960785
13,147,1998.3950549326335,104.83664906072154
11,148,1082.5648805079795,99.82760946673581
13,148,1960.6524942807807,104.59857292131666
10,149,592.3658092575344,97.73086274169114
11,149,1049.1781817689687,99.67291318665283
12,149,1492.333730547568,101.87904298160358
13,149,1923.3325841057012,104.36604791081479
11,150,1016.1628602214679,99.52170814051316
13,150,1886.4278022287692,104.13890067406018
10,151,530.7425980328657,97.49266525421481
11,151,983.5123500512206,99.37389093202286
12,151,1422.746136174256,101.51009935840528
13,151,1849.9308093320028,103.91696481231887
11,152,951.2202440045979,99.22936199513241
13,152,1813.8344433377245,103.70008053358855
10,153,470.4648890641844,97.26487814242655
11,153,919.2802885470279,99.08802542161007
13,153,1778.1317139966004,103.4880943244688
13,154,1742.81579767505,103.28085864199713
11,155,856.4325560472943,98.81456305045302
12,155,1288.076751398933,100.8204224776112
13,155,1707.8800323334224,103.07823162399346
11,156,825.5129994082097,98.68226229967688
10,157,353.76256000187993,96.83821906518074
11,157,794.9220256623626,98.5528037208597
12,157,1222.8926255583856,100.4978496793491
13,157,1639.1230855405704,102.68626291766381
11,158,764.6540832279474,98.42610741274589
13,158,1605.2893452936812,102.49666353524289
11,159,734.7037486820602,98.30209627264504
13,159,1571.8106296020328,102.31115695954405
14,159,1974.0830653256307,104.68295364401955
11,160,705.065723018812,98.18069587789996
13,160,1538.681015195841,102.12962594801476
11,161,675.7348280392782,98.06183437330678
12,161,1096.5872069605255,99.89312204192271
13,161,1505.8947138442825,101.95195752232193
11,162,646.706002867857,97.9454423641378
13,162,1473.4460684614535,101.77804277655132
11,163,617.9743005898604,97.83145281444146
12,163,1035.3770456057555,99.60949282501016
13,163,1441.3295493478392,101.6077766958718
14,163,1836.9936263408297,103.83893434314443
11,164,589.534885005408,97.71980095031607
13,164,1409.5397505617934,101.44105798498406
13,165,1378.0713864157544,101.27778890572515
14,165,1770.531683730648,103.44329167982865
11,166,533.5141039916808,97.5032619456281
13,166,1346.9192880921933,101.11787512324781
11,167,505.92359205733334,97.39825576106226
12,167,916.6343288741857,99.0763885523062
13,167,1316.0784003745,100.96122556023597
14,167,1705.3989942952758,103.06393098004797
11,168,478.6070680559827,97.29534901113868
13,168,1285.5437784882513,100.80775225865801
11,169,451.5602044232497,97.19448693654022
12,169,859.0241948291268,98.82571898018803
14,169,1641.5535257020956,102.69996553072966
15,169,2018.6998923672736,104.9659548777481
11,170,424.7787670264002,97.09561654943549
13,170,1225.3740871089167,100.50999742371509
11,171,398.2586126120575,96.9986865645791
13,171,1195.7296533088163,100.36555442299266
14,171,1578.9550517281452,102.3505697622611
11,172,371.9956863380745,96.90364733356789
13,172,1166.3727511142733,100.22396451830538
15,172,1920.8594323618534,104.35073933023428
11,173,345.9860193863316,96.81045078208537
12,173,747.1447992216805,98.35344609149419
13,173,1137.298944149688,100.08515350755923
14,173,1517.56505463045,102.0149740534895
15,173,1888.875354026557,104.15387988692406
11,174,320.2257266533589,96.71905034997695
13,174,1108.5038896163394,99.94904961302268
12,175,692.8074849296361,98.13086574249239
13,175,1079.9833357946156,99.81558338456885
13,176,1051.733119626725,99.6846876075462
15,176,1794.7444396368378,103.58642120469972
13,177,1023.7491643768968,99.55629721501624
14,177,1398.2644205801012,101.38235656594142
13,178,996.0274773661084,99.43034920411431
15,178,1733.4626945956097,103.22637987353004
12,179,587.1779782185964,97.71060017123092
13,179,968.564147778621,99.30678255630502
14,179,1340.2844977354519,101.08403560941656
15,179,1703.2503014974445,103.05155550596324
13,180,941.3553445376139,99.18553816131889
12,181,535.8258187935902,97.51210898788503
13,181,914.3973142473986,99.06655874456993
14,181,1283.374324966249,100.79690915772503
15,181,1643.6613990551923,102.71185855533271
16,181,1996.0236176230246,104.82160329055037
15,182,1614.2767147579686,102.54681824196388
13,183,861.2189354420798,98.8351745132446
14,183,1227.5026683065985,100.52042596686857
16,183,1934.9501123330845,104.43812628011821
