inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency,access_frequency
72,2.1530092592592593,30000,1350000,692668.5974348366,60000,41310000,9067947.01986755,2417,2.7687876276482245e-07
73,2.1392746913580245,30000,1380000,687112.7633209417,90000,41250000,9057483.47107438,2421,2.751124860285525e-07
74,2.128317901234568,30000,1440000,682184.6661170651,30000,41250000,9030074.226804124,2426,2.7370343380074173e-07
75,2.1195601851851853,30000,1470000,679097.651421508,30000,41220000,9031657.048639737,2427,2.725771843087944e-07
76,2.105439814814815,30000,1500000,672081.2807881774,30000,41160000,9007774.127310062,2436,2.7076129305746076e-07
77,2.0901234567901232,60000,1530000,663379.5918367347,30000,41160000,8963568.803593304,2450,2.6879159680942943e-07
78,2.072260802469136,30000,1560000,655302.968686458,4530000,41130000,8938694.060211554,2459,2.6649444476197737e-07
79,2.0558641975308642,30000,1590000,646699.0291262136,4530000,41100000,8896693.646297045,2472,2.643858278717675e-07
80,2.0396604938271605,30000,1620000,637988.73692679,4500000,41010000,8851798.792756539,2486,2.6230201823908953e-07
81,2.023996913580247,30000,1650000,630048.0384307445,30000,40920000,8812046.455746897,2498,2.602876689275009e-07
82,2.0062885802469137,30000,1680000,620314.1153081511,4380000,40860000,8760023.86634845,2515,2.580103626860743e-07
83,1.9896219135802469,30000,1710000,636417.1122994652,30000,40800000,9053506.172839506,2431,2.558670156353198e-07
84,1.9708719135802468,30000,1740000,709513.8888888889,30000,40710000,10201778.601204261,2160,2.5345575020322103e-07
85,1.9549768518518518,30000,1740000,785627.9069767442,30000,40680000,11400713.547052741,1935,2.514116321825941e-07
86,1.9491512345679012,30000,1770000,935015.4225786552,30000,40650000,13617259.25925926,1621,2.506624530051313e-07
87,1.9339891975308643,30000,1800000,1059063.38028169,30000,36240000,15558435.517970402,1420,2.487126025631256e-07
88,1.9259259259259258,30000,1830000,1149347.6592478894,30000,39090000,16938847.92626728,1303,2.4767565919829294e-07
89,1.9236496913580248,30000,1860000,1201469.8795180724,3840000,39030000,17738946.94533762,1245,2.4738293355941675e-07
90,1.921219135802469,30000,1830000,1206736.6720516963,3810000,39180000,17845392.077607114,1238,2.470703621145151e-07
91,1.9258873456790124,30000,1770000,1186664.0253565768,30000,39270000,17511506.740682,1262,2.476706977467866e-07
92,1.9283564814814815,30000,1740000,1097723.279648609,30000,39330000,16152395.604395604,1366,2.4798823064319465e-07
93,1.9334490740740742,30000,1710000,1006999.3302076356,30000,39420000,14781997.319034852,1493,2.486431422420363e-07
94,1.9434413580246914,30000,1680000,884789.2271662763,30000,39510000,12921775.043936731,1708,2.499281581821877e-07
95,1.960108024691358,30000,1620000,737030.9477756287,120000,39570000,10670101.596516691,2068,2.520715052329421e-07
96,1.9773148148148147,30000,1590000,645220.3105329417,30000,39660000,9253929.471032746,2383,2.5428431260478586e-07
97,1.990354938271605,30000,1560000,595269.2307692308,60000,39720000,8465621.392843401,2600,2.5596128321394095e-07
98,2.008024691358025,30000,1500000,576815.6630956779,30000,39780000,8127860.310421286,2707,2.5823362800386123e-07
99,2.025925925925926,30000,1470000,583250.6479081821,30000,39810000,8144655.555555556,2701,2.605357415028197e-07
