inc,sma,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency
15,7671,0.6625514403292181,0,60000,23550.92338635948,-777600000,30000,-23552.0,21876
15,7871,0.9323302469135802,0,45450000,137724.1641337386,-777600000,10000,-137750.3325099753,5264
15,8071,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
15,8271,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
20,6671,0.0,0,0,0.0,0,0,0,1
20,6871,0.08463220164609053,0,10000,9998.480704952903,-777580000,42270000,-10004.55857772375,6582
20,7071,0.15299639917695473,0,10000,9999.159522608841,-777600000,28900000,-10000.84054803732,11898
20,7271,0.2414351851851852,0,20000,12569.630423138726,-777590000,13940000,-12571.811181787747,14936
20,7471,0.6181069958847737,0,40000,26151.58604929539,-777600000,30000,-26153.009032538906,18379
20,7671,0.6181970164609053,0,60000,21754.536814952255,-777600000,30000,-21755.52136133237,22097
20,7871,0.9203575102880659,0,42530000,115523.80952380953,-777600000,10000,-115542.46044559251,6195
20,8071,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
20,8271,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
25,6671,0.003742283950617284,0,10000,9965.753424657534,-713020000,74830000,-47766.32302405498,292
25,6871,0.1024048353909465,0,20000,10480.389576204265,-777580000,40220000,-10485.718046597342,7598
25,7071,0.16126543209876543,0,10000,9999.202615421418,-777600000,28650000,-10000.79744816587,12541
25,7271,0.23640689300411522,0,20000,12577.312534209086,-777590000,19570000,-12579.54156688334,14616
25,7471,0.5733796296296296,0,40000,23001.44449030128,-777600000,30000,-23002.631171645255,19384
25,7671,0.5737782921810699,0,60000,19565.427118049465,-777600000,30000,-19566.285137920448,22804
25,7871,0.891872427983539,0,15110000,82463.73365041616,-777600000,10000,-82473.54025448924,8410
25,8071,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
25,8271,1.0,0,777600000,388800000.0,-777600000,-777600000,-777600000.0,2
30,6671,0.015534979423868313,0,10000,9991.72870140612,-716480000,65960000,-16051.324503311258,1209
30,6871,0.11332304526748971,0,20000,10852.216748768473,-777580000,37400000,-10857.248429609557,8120
30,7071,0.16518775720164608,0,10000,9999.221547563444,-777600000,28560000,-10000.778513040093,12846
30,7271,0.22672325102880658,0,20000,12288.283264794034,-777590000,19970000,-12290.533946744737,14347
30,7471,0.5260030864197531,0,40000,20443.84465437097,-777600000,40000,-20444.866540037987,20007
30,7671,0.5265560699588477,0,60000,17218.25063078217,-777600000,50000,-17218.97472559822,23780
30,7871,0.8364840534979424,0,10620000,66719.66355523643,-777600000,330000,-66726.50800164136,9749
30,8071,0.9558256172839507,0,58730000,216249.6363107361,-777600000,10000,-216312.57275902212,3437
30,8271,0.9560570987654321,0,58530000,217440.77215560107,-777600000,10000,-217504.38853130487,3419
35,6671,0.028189300411522632,0,10000,9995.440036479707,-776570000,57910000,-10652.372262773722,2193
35,6871,0.11693672839506172,0,20000,10826.28884390999,-777580000,34300000,-10831.150273874731,8399
35,7071,0.1633101851851852,0,10000,9999.212598425196,-777600000,26450000,-10000.787463579809,12700
35,7271,0.21974022633744855,0,20000,11856.09214543436,-777590000,17940000,-11858.302685448616,14412
35,7471,0.4825360082304527,0,40000,19000.405104314363,-777600000,70000,-19001.367296298173,19748
35,7671,0.4828832304526749,0,60000,15722.720040197639,-777600000,80000,-15723.378417989197,23882
35,7871,0.7781893004115227,0,6290000,56701.64917541229,-777600000,480000,-56706.96279636398,10672
35,8071,0.8973894032921811,0,45650000,88162.98168035375,-777600000,20000,-88174.12180945161,7915
