ND,NS,height,inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency
9,139,427.7415044221698,97.1065054020393,0.0,,,,,,,0
10,139,922.45861244146,99.1020180830716,0.0,,,,,,,0
11,139,1400.92581118232,101.396191971657,0.0,,,,,,,0
12,139,1865.0887953520505,104.008815156354,0.0,,,,,,,0
9,140,395.3278803922003,96.988034172108,0.0,,,,,,,0
11,140,1363.87244166259,101.204690425154,0.0,,,,,,,0
10,141,853.3256532229198,98.8012027406333,0.0,,,,,,,0
11,141,1327.2575752047496,101.017816976072,0.0,,,,,,,0
9,142,331.6442040503898,96.7594539414022,0.0,,,,,,,0
11,142,1291.07296729075,100.835424113653,0.0,,,,,,,0
9,143,300.35991256916986,96.6491739635464,0.0,,,,,,,0
10,143,785.8079738545302,98.5145083512124,0.0,,,,,,,0
12,143,1710.7769862161704,103.094944547929,0.0,,,,,,,0
11,144,1219.9626003849098,100.483519421805,0.0,,,,,,,0
11,145,1185.0213833877397,100.313741030369,0.0,,,,,,,0
12,145,1636.2899002227005,102.670303707022,0.0,,,,,,,0
11,146,1150.47949598369,100.147909569535,0.0,,,,,,,0
10,147,655.3832296002201,97.9801047030915,0.0,,,,,,,0
11,147,1116.3296858413896,99.9859043896078,0.0,,,,,,,0
13,147,1998.3950549326291,104.836649060721,0.0,,,,,,,0
11,148,1082.56488050797,99.8276094667358,0.0,,,,,,,0
13,148,1960.6524942807791,104.598572921316,0.0,,,,,,,0
10,149,592.3658092575297,97.7308627416911,0.0,,,,,,,0
11,149,1049.1781817689598,99.6729131866528,0.0,,,,,,,0
12,149,1492.3337305475598,101.879042981603,0.0,,,,,,,0
13,149,1923.3325841056994,104.366047910814,0.0,,,,,,,0
11,150,1016.1628602214596,99.5217081405131,0.0,,,,,,,0
13,150,1886.42780222876,104.13890067406,0.0,,,,,,,0
10,151,530.7425980328699,97.4926652542148,0.0,,,,,,,0
11,151,983.51235005122,99.3738909320228,0.0,,,,,,,0
12,151,1422.7461361742498,101.510099358405,0.0,,,,,,,0
13,151,1849.9308093319996,103.916964812318,0.0,,,,,,,0
11,152,951.2202440046003,99.2293619951324,0.0,,,,,,,0
13,152,1813.8344433377197,103.700080533588,0.0,,,,,,,0
10,153,470.46488906418017,97.2648781424265,0.0,,,,,,,0
11,153,919.2802885470301,99.08802542161,0.0,,,,,,,0
13,153,1778.1317139966004,103.488094324468,0.0,,,,,,,0
13,154,1742.81579767505,103.280858641997,0.0,,,,,,,0
11,155,856.4325560472898,98.814563050453,0.0,,,,,,,0
12,155,1288.0767513989304,100.820422477611,0.0,,,,,,,0
13,155,1707.8800323334199,103.078231623993,0.0,,,,,,,0
11,156,825.5129994082099,98.6822622996768,0.0,,,,,,,0
10,157,353.76256000188005,96.8382190651807,0.0,,,,,,,0
11,157,794.9220256623603,98.5528037208597,0.0,,,,,,,0
12,157,1222.8926255583801,100.497849679349,0.0,,,,,,,0
13,157,1639.1230855405702,102.686262917663,0.0,,,,,,,0
11,158,764.6540832279497,98.4261074127458,0.0,,,,,,,0
13,158,1605.2893452936796,102.496663535242,0.0,,,,,,,0
11,159,734.70374868206,98.302096272645,0.0,,,,,,,0
13,159,1571.8106296020296,102.311156959544,0.0,,,,,,,0
14,159,1974.0830653256307,104.682953644019,0.0,,,,,,,0
11,160,705.0657230188099,98.1806958778999,0.0,,,,,,,0
13,160,1538.6810151958398,102.129625948014,0.0,,,,,,,0
11,161,675.7348280392798,98.0618343733067,0.0,,,,,,,0
12,161,1096.5872069605202,99.8931220419227,0.0,,,,,,,0
13,161,1505.89471384428,101.951957522321,0.0,,,,,,,0
11,162,646.7060028678598,97.9454423641378,0.0,,,,,,,0
13,162,1473.4460684614496,101.778042776551,0.0,,,,,,,0
11,163,617.9743005898599,97.8314528144414,0.0,,,,,,,0
12,163,1035.37704560575,99.6094928250101,0.0,,,,,,,0
13,163,1441.32954934783,101.607776695871,0.0,,,,,,,0
14,163,1836.99362634082,103.838934343144,0.0,,,,,,,0
11,164,589.5348850054097,97.719800950316,0.0,,,,,,,0
13,164,1409.5397505617902,101.441057984984,0.0,,,,,,,0
13,165,1378.0713864157497,101.277788905725,0.0,,,,,,,0
14,165,1770.53168373064,103.443291679828,0.0,,,,,,,0
11,166,533.5141039916798,97.5032619456281,0.0,,,,,,,0
13,166,1346.91928809219,101.117875123247,0.0,,,,,,,0
11,167,505.9235920573301,97.3982557610622,0.0,,,,,,,0
12,167,916.63432887418,99.0763885523062,0.0,,,,,,,0
13,167,1316.0784003745002,100.961225560235,0.0,,,,,,,0
14,167,1705.3989942952703,103.063930980047,0.0,,,,,,,0
11,168,478.60706805597965,97.2953490111386,0.0,,,,,,,0
13,168,1285.5437784882497,100.807752258658,0.0,,,,,,,0
11,169,451.56020442325007,97.1944869365402,0.0,,,,,,,0
12,169,859.0241948291296,98.825718980188,0.0,,,,,,,0
14,169,1641.5535257020902,102.699965530729,0.0,,,,,,,0
15,169,2018.6998923672709,104.965954877748,0.0,,,,,,,0
11,170,424.7787670263997,97.0956165494354,0.0,,,,,,,0
13,170,1225.3740871089103,100.509997423715,0.0,,,,,,,0
11,171,398.25861261205955,96.9986865645791,0.0,,,,,,,0
13,171,1195.7296533088102,100.365554422992,0.0,,,,,,,0
14,171,1578.9550517281396,102.350569762261,0.0,,,,,,,0
11,172,371.9956863380703,96.9036473335678,0.0,,,,,,,0
13,172,1166.3727511142697,100.223964518305,0.0,,,,,,,0
15,172,1920.8594323618508,104.350739330234,0.0,,,,,,,0
11,173,345.98601938632964,96.8104507820853,0.0,,,,,,,0
12,173,747.1447992216799,98.3534460914941,0.0,,,,,,,0
13,173,1137.2989441496802,100.085153507559,0.0,,,,,,,0
14,173,1517.5650546304496,102.014974053489,0.0,,,,,,,0
15,173,1888.8753540265498,104.153879886924,0.0,,,,,,,0
11,174,320.22572665335974,96.7190503499769,0.0,,,,,,,0
13,174,1108.5038896163296,99.9490496130226,0.0,,,,,,,0
12,175,692.8074849296399,98.1308657424923,0.0,,,,,,,0
13,175,1079.98333579461,99.8155833845688,0.0,,,,,,,0
13,176,1051.7331196267196,99.6846876075462,0.0,,,,,,,0
15,176,1794.74443963683,103.586421204699,0.0,,,,,,,0
13,177,1023.7491643768899,99.5562972150162,0.0,,,,,,,0
14,177,1398.2644205800998,101.382356565941,0.0,,,,,,,0
13,178,996.0274773661104,99.4303492041143,0.0,,,,,,,0
15,178,1733.4626945955997,103.22637987353,0.0,,,,,,,0
12,179,587.1779782186004,97.7106001712309,0.0,,,,,,,0
13,179,968.5641477786203,99.306782556305,0.0,,,,,,,0
14,179,1340.2844977354498,101.084035609416,0.0,,,,,,,0
15,179,1703.25030149744,103.051555505963,0.0,,,,,,,0
13,180,941.3553445376101,99.1855381613188,0.0,,,,,,,0
12,181,535.8258187935899,97.512108987885,0.0,,,,,,,0
13,181,914.3973142473997,99.0665587445699,0.0,,,,,,,0
14,181,1283.3743249662402,100.796909157725,0.0,,,,,,,0
15,181,1643.6613990551896,102.711858555332,0.0,,,,,,,0
16,181,1996.0236176230192,104.82160329055,0.0,,,,,,,0
15,182,1614.2767147579598,102.546818241963,0.0,,,,,,,0
13,183,861.2189354420798,98.8351745132446,0.0,,,,,,,0
14,183,1227.5026683065898,100.520425966868,0.0,,,,,,,0
16,183,1934.9501123330792,104.438126280118,0.0,,,,,,,0
13,184,834.9914509050404,98.7226637197428,0.0,,,,,,,0
15,184,1556.3070544206003,102.225954721358,0.0,,,,,,,0
12,185,435.90571039640963,97.1365738260155,0.0,,,,,,,0
13,185,809.0004635876703,98.6122058229916,0.0,,,,,,,0
14,185,1172.63953414785,100.254068783827,0.0,,,,,,,0
16,185,1874.9790265520005,104.068993539243,0.0,,,,,,,0
13,186,783.2425797978303,98.5037517474437,0.0,,,,,,,0
12,187,387.28469599169966,96.9588598998586,0.0,,,,,,,0
13,187,757.7144724459504,98.3972538811261,0.0,,,,,,,0
14,187,1118.7561072195804,99.997351795424,0.0,,,,,,,0
15,187,1471.2946948228,101.7665793305,0.0,,,,,,,0
16,187,1816.0788622058699,103.71349074065,0.0,,,,,,,0
13,188,732.4128793903301,98.2926660227792,0.0,,,,,,,0
15,188,1443.4604268411504,101.619016304167,0.0,,,,,,,0
13,189,707.3346018320499,98.1899433312634,0.0,,,,,,,0
16,189,1758.21934554575,103.370948934669,0.0,,,,,,,0
13,190,682.4765027578396,98.089042277119,0.0,,,,,,,0
13,191,657.8355054291196,97.9899205961724,0.0,,,,,,,0
14,191,1013.8186593685596,99.5110386174356,0.0,,,,,,,0
15,191,1361.4179006002096,101.192089874296,0.0,,,,,,,0
16,191,1701.3713672145695,103.040740968775,0.0,,,,,,,0
13,192,633.4085919157296,97.8925372450877,0.0,,,,,,,0
17,192,2005.0999582887107,104.879252228782,0.0,,,,,,,0
13,193,609.1928016727397,97.7968523587679,0.0,,,,,,,0
14,193,962.7123920409504,99.28060809779,0.0,,,,,,,0
15,193,1307.9060901489802,100.919992339013,0.0,,,,,,,0
16,193,1645.5069258396697,102.72227825049,0.0,,,,,,,0
17,193,1976.141927502449,104.695921863357,0.0,,,,,,,0
13,194,585.1852301588297,97.7028272095163,0.0,,,,,,,0
15,194,1281.49537452181,100.787524536818,0.0,,,,,,,0
17,194,1947.4328914550206,104.515880483309,0.0,,,,,,,0
14,195,912.4812389323197,99.0581454077089,0.0,,,,,,,0
16,195,1590.5990749093198,102.415007814464,0.0,,,,,,,0
17,195,1918.9694421681597,104.339048862758,0.0,,,,,,,0
13,196,537.7833971615,97.5196066650486,0.0,,,,,,,0
15,196,1229.3486452795696,100.529476150039,0.0,,,,,,,0
17,196,1890.7482354727908,104.165350235654,0.0,,,,,,,0
13,197,514.3835947336402,97.4303391568704,0.0,,,,,,,0
