ND,NS,height,inc,percentage_of_access,min_duration,max_duration,avg_duration,min_waiting_time,max_waiting_time,avg_waiting_time,frequency,fluence,avg_fluence,fluence_rep
9,109,1624.041,102.601,373.339,10000,50000,36445.963,10000,80000,56297.74,17701,554658.071,31334.843,2.888
7,110,349.686,96.823,11.226,10000,10000,10000.0,20000,34420000,834894.275,1940,2669.86,1376.216,0.01
9,110,1575.513,102.331,372.986,0,20000,13964.25,10000,60000,21603.327,46155,1730308.351,37489.077,9.012
7,111,309.26,96.68,3.883,10000,10000,10000.0,40000,39900000,2433656.716,671,536.617,799.728,0.002
8,111,931.216,99.14,107.922,10000,30000,17752.498,100000,7390000,138517.707,10505,125470.857,11943.917,0.58
9,112,1480.627,101.816,340.121,0,20000,11182.928,10000,190000,20052.706,52556,1708670.34,32511.422,8.899
8,113,844.798,98.764,86.307,10000,20000,10115.987,50000,11880000,101232.532,14743,182652.553,12389.103,0.845
9,113,1434.237,101.57,314.241,10000,40000,23417.716,30000,110000,47379.566,23188,437060.599,18848.568,2.276
10,113,2002.192,104.86,414.728,10000,100000,77142.088,10000,110000,99572.612,9290,107033.158,11521.33,0.619
8,115,760.893,98.41,68.784,10000,10000,10000.0,30000,15790000,128109.381,11886,112750.923,9486.027,0.521
9,115,1343.477,101.1,275.706,10000,30000,17409.83,20000,80000,42580.763,27365,568122.126,20760.903,2.958
9,116,1299.077,100.875,254.05,0,20000,10088.011,10000,90000,27635.812,43517,975372.281,22413.591,5.08
8,117,679.384,98.076,60.138,10000,10000,10000.0,20000,17840000,147969.396,10392,85797.252,8256.086,0.397
10,117,1810.246,103.678,406.377,10000,50000,35514.084,40000,60000,47510.621,19773,413862.737,20930.7,2.395
9,118,1212.162,100.445,207.146,0,30000,13935.064,20000,120000,49973.137,25687,455153.516,17719.216,2.37
8,119,600.165,97.761,44.247,10000,10000,10000.0,40000,22200000,204706.344,7646,45598.229,5963.671,0.211
9,119,1169.62,100.239,182.395,0,50000,12325.681,10000,180000,51873.68,25571,534789.399,20913.902,2.785
10,119,1718.321,103.138,397.627,10000,20000,12041.71,10000,20000,16728.298,57060,2646941.156,46388.733,15.317
8,121,523.135,97.463,29.826,10000,10000,10000.0,10000,27500000,308470.793,5154,20364.794,3951.26,0.094
9,121,1086.297,99.845,158.159,0,10000,9999.634,20000,340000,50065.129,27331,485117.993,17749.734,2.526
10,121,1628.935,102.628,387.991,10000,30000,22148.992,20000,40000,32083.649,30270,1211131.177,40010.94,7.008
9,122,1045.491,99.655,136.626,0,10000,9999.576,30000,13230000,59445.973,23610,405062.367,17156.389,2.109
8,123,448.198,97.182,23.582,10000,10000,10000.0,60000,30260000,392611.683,4075,12293.611,3016.837,0.056
10,123,1541.978,102.147,357.829,10000,20000,13945.51,10000,60000,23078.623,44339,1495099.059,33719.728,8.652
9,124,965.528,99.293,107.887,0,10000,9999.463,10000,7850000,78052.888,18644,276401.418,14825.22,1.439
11,124,2015.692,104.946,414.965,0,30000,17016.944,10000,30000,21941.286,42138,3066589.037,72774.907,19.521
8,125,375.264,96.915,17.592,10000,10000,10000.0,20000,33150000,529819.019,3040,6493.081,2135.881,0.03
9,125,926.347,99.119,107.731,10000,80000,47684.426,300000,7290000,372877.273,3904,11608.788,2973.562,0.06
11,125,1970.903,104.662,413.553,10000,20000,10709.286,10000,40000,13891.919,66729,4224373.538,63306.411,26.891
11,126,1926.708,104.386,412.818,10000,70000,55787.127,60000,90000,72598.936,12787,123935.5,9692.304,0.788
8,127,304.25,96.662,3.94,10000,10000,10000.0,180000,39650000,2398279.411,681,541.127,794.606,0.002
9,127,849.532,98.784,86.25,0,10000,9999.329,30000,11520000,100140.901,14905,182147.358,12220.554,0.948
10,127,1374.942,101.261,275.827,10000,30000,13498.824,10000,70000,32994.222,35309,1023063.647,28974.585,5.92
11,127,1883.093,104.118,409.809,10000,30000,16928.023,10000,30000,22314.017,41833,2697375.166,64479.601,17.17
9,128,811.876,98.624,77.187,0,10000,9999.25,40000,13800000,113073.924,13339,145393.721,10899.896,0.757
11,128,1840.046,103.857,408.31,0,20000,10579.221,10000,40000,14035.266,66693,3631438.815,54450.074,23.116
10,129,1294.672,100.853,256.383,0,20000,10761.775,10000,190000,29115.046,41167,965480.326,23452.773,5.587
11,129,1797.557,103.603,406.319,40000,70000,53633.794,60000,80000,71770.817,13091,122668.532,9370.447,0.78
9,130,738.016,98.315,68.9,0,140000,85839.942,690000,16030000,1098073.593,1387,1691.535,1219.564,0.008
11,130,1755.613,103.355,402.702,10000,30000,16756.242,10000,30000,22773.309,41529,2147501.526,51710.889,13.67
9,131,701.791,98.167,60.248,10000,10000,10000.0,40000,18100000,147679.154,10411,85887.022,8249.641,0.447
10,131,1216.45,100.466,207.152,10000,40000,19800.862,30000,120000,71007.91,18078,231633.087,12812.981,1.34
11,131,1714.204,103.114,398.02,0,20000,10440.841,10000,40000,14479.528,65874,2769946.998,42049.169,17.632
9,133,630.707,97.881,51.921,10000,10000,10000.0,30000,21710000,172971.798,8972,63652.03,7094.519,0.331
10,133,1140.193,100.098,182.76,10000,20000,10429.656,10000,150000,43784.14,30280,577772.345,19080.988,3.343
11,133,1632.944,102.651,388.119,0,30000,16268.921,10000,30000,23552.385,41224,1845335.865,44763.629,11.746
9,134,595.829,97.744,44.386,10000,10000,10000.0,20000,23440000,204044.855,7670,45579.719,5942.597,0.237
11,134,1593.074,102.428,373.229,10000,20000,10291.541,10000,60000,15904.158,62667,2236127.457,35682.695,14.234
11,135,1553.697,102.211,357.91,10000,70000,45143.795,60000,90000,74685.013,13700,103971.95,7589.193,0.661
9,136,527.358,97.479,36.579,10000,10000,10000.0,10000,24410000,249719.936,6321,31260.106,4945.436,0.162
11,136,1514.802,102.0,340.393,10000,30000,14492.682,20000,70000,25954.663,40586,1487079.248,36640.202,9.466
9,137,493.749,97.352,29.629,10000,10000,10000.0,60000,29640000,310582.144,5120,20410.641,3986.453,0.106
10,137,993.269,99.417,121.122,10000,10000,10000.0,20000,5150000,68432.796,20930,334938.828,16002.81,1.938
11,137,1476.382,101.793,340.208,10000,20000,10206.781,10000,60000,18294.673,57597,1758688.114,30534.37,11.195
12,137,1945.051,104.501,412.91,10000,30000,21716.277,20000,40000,28246.842,32856,1715604.724,52215.873,11.913
11,138,1438.426,101.592,314.502,10000,60000,43196.884,60000,190000,87290.143,12581,93148.661,7403.915,0.592
9,139,427.741,97.106,23.506,10000,10000,10000.0,20000,29930000,394156.611,4062,12295.464,3026.948,0.064
10,139,922.458,99.102,96.603,10000,140000,86090.768,580000,9600000,760634.674,1939,2901.691,1496.488,0.016
11,139,1400.925,101.396,294.994,10000,30000,13180.349,20000,70000,29265.915,38675,1209821.919,31281.756,7.701
12,139,1865.088,104.008,408.697,10000,210000,121428.817,10000,270000,160835.769,5816,32078.273,5515.521,0.222
9,140,395.327,96.988,17.586,10000,10000,10000.0,100000,31610000,529921.0,3039,6504.918,2140.479,0.033
11,140,1363.872,101.204,275.879,0,20000,10048.692,10000,60000,24554.595,47441,1150162.692,24244.065,7.321
10,141,853.325,98.801,86.25,10000,10000,10000.0,30000,11440000,100103.334,14904,182777.417,12263.648,1.057
11,141,1327.257,101.017,275.902,10000,60000,40780.087,60000,190000,99636.441,11691,79016.57,6758.752,0.502
9,142,331.644,96.759,11.168,10000,10000,10000.0,90000,34450000,839357.179,1930,2672.409,1384.668,0.013
11,142,1291.072,100.835,256.284,0,30000,12000.975,10000,70000,32484.756,36902,933217.982,25289.089,5.94
9,143,300.359,96.649,3.894,10000,10000,10000.0,150000,39230000,2374925.595,673,537.816,799.133,0.002
10,143,785.807,98.514,77.268,10000,10000,10000.0,10000,13360000,112944.348,13352,145323.341,10884.013,0.84
12,143,1710.776,103.094,397.748,10000,20000,10048.685,10000,60000,13952.073,68398,2783086.666,40689.591,19.326
11,144,1219.962,100.483,207.285,10000,60000,33874.598,60000,200000,121372.363,10574,62958.041,5954.042,0.4
11,145,1185.021,100.313,207.199,10000,20000,10694.465,20000,120000,38339.506,33479,688752.101,20572.66,4.384
12,145,1636.289,102.67,388.055,10000,20000,13317.445,10000,30000,19285.019,50352,2223757.624,44164.236,15.442
11,146,1150.479,100.147,182.696,0,10000,9999.683,10000,300000,41997.465,31571,581812.279,18428.693,3.703
10,147,655.383,97.98,52.025,10000,30000,19753.9,170000,24300000,341008.791,4551,23119.609,5080.116,0.133
11,147,1116.329,99.985,158.142,10000,50000,31063.999,70000,210000,155529.786,8797,54563.318,6202.491,0.347
13,147,1998.395,104.836,422.216,10000,154710000,171910.933,10000,164600000,193891.114,4244,13685.652,3224.705,0.102
11,148,1082.564,99.827,158.153,10000,20000,10075.95,20000,200000,50448.344,27123,484770.345,17873.035,3.085
13,148,1960.652,104.598,413.321,0,20000,10289.427,10000,40000,13360.369,69413,4244400.172,61147.049,31.931
10,149,592.365,97.73,44.317,10000,10000,10000.0,20000,23680000,204371.163,7658,45625.103,5957.835,0.264
11,149,1049.178,99.672,136.765,0,10000,9999.576,10000,860000,59460.5,23634,403850.577,17087.694,2.57
12,149,1492.333,101.879,340.202,10000,40000,24219.091,10000,60000,43412.162,24273,860867.315,35466.045,5.978
13,149,1923.332,104.366,410.324,20000,50000,33426.362,30000,50000,43963.038,21212,566317.576,26697.981,4.26
11,150,1016.162,99.521,121.053,10000,50000,29321.558,120000,3960000,200796.298,7134,48877.676,6851.37,0.311
13,150,1886.427,104.138,409.878,10000,20000,14092.401,10000,30000,18570.575,50259,3364932.726,66951.843,25.314
10,151,530.742,97.492,36.701,10000,10000,10000.0,40000,24400000,248869.263,6342,31394.583,4950.265,0.181
11,151,983.512,99.373,121.128,10000,10000,10000.0,20000,4080000,68430.96,20931,334978.624,16003.947,2.132
12,151,1422.746,101.51,297.048,10000,20000,11136.181,10000,50000,24478.868,46093,1282546.424,27825.188,8.906
13,151,1849.93,103.916,408.425,10000,30000,16633.514,10000,30000,22055.905,42430,2557412.745,60273.691,19.239
11,152,951.22,99.229,107.841,10000,10000,10000.0,20000,8880000,78095.416,18635,276426.578,14833.731,1.759
13,152,1813.834,103.7,406.504,20000,30000,24187.872,20000,40000,32339.531,29041,1053196.174,36265.837,7.923
10,153,470.464,97.264,23.368,10000,10000,10000.0,50000,29680000,396586.574,4038,12239.623,3031.11,0.07
11,153,919.28,99.088,96.556,10000,40000,26576.935,170000,9590000,234917.954,6278,43122.695,6868.858,0.274
13,153,1778.131,103.488,406.018,10000,20000,11054.215,10000,40000,14810.298,63469,3308179.755,52122.764,24.887
13,154,1742.815,103.28,403.888,10000,110000,81752.372,10000,140000,110538.894,8537,101574.418,11898.139,0.764
11,155,856.432,98.814,86.197,10000,10000,10000.0,20000,16270000,100217.537,14895,182857.441,12276.431,1.164
12,155,1288.076,100.82,255.902,0,30000,13661.219,10000,160000,37055.116,32369,882231.845,27255.455,6.126
13,155,1707.88,103.078,397.685,0,20000,10031.384,10000,80000,13931.887,68505,2783123.831,40626.579,20.937
